852 2797
700 663 625
749 342 900
17 69 876
710 369 676
381 809 186
543 526 460
593 543 174
164 712 597
22 234 144
532 366 639
796 666 158
495 69 102
617 613 411
177 364 872
454 648 597
586 649 449
58 284 175
278 371 717
304 342 634
695 790 895
247 390 982
225 584 753
55 98 620
582 76 363
643 48 401
437 648 934
88 129 507
508 18 582
510 711 264
311 116 161
548 270 458
478 9 494
224 40 667
84 143 691
225 559 755
493 645 381
435 343 854
252 588 238
17 287 92
654 367 921
393 732 537
698 164 964
124 677 258
250 396 102
538 699 97
256 17 929
413 32 350
637 697 427
304 369 861
47 322 441
59 302 530
265 63 80
571 471 970
804 727 551
462 600 993
786 254 249
661 347 166
630 279 168
138 292 474
688 511 799
521 767 556
254 451 760
548 689 434
404 421 356
185 137 731
801 380 799
490 314 357
382 150 806
611 742 901
747 631 903
423 712 501
291 839 826
410 2 5
77 613 953
760 126 41
330 8 150
620 132 910
73 529 2
805 14 898
215 48 301
465 274 215
626 591 39
230 392 941
5 644 191
15 701 344
185 416 452
459 107 737
167 790 679
416 331 384
113 271 515
716 148 838
239 53 81
277 789 985
384 329 539
44 634 791
688 485 21
702 422 260
462 349 816
271 634 116
402 135 346
116 748 62
154 77 916
91 131 42
39 227 752
124 218 124
277 684 362
251 580 351
720 483 482
413 329 81
745 783 977
470 213 927
70 832 995
808 238 162
442 730 191
301 251 152
657 847 819
401 395 728
611 332 513
668 641 270
707 695 603
54 123 229
321 590 391
333 46 303
111 616 101
803 283 542
664 179 238
133 800 266
321 675 564
794 318 957
276 139 581
802 65 318
505 809 174
262 617 455
220 793 590
620 467 305
305 495 605
812 361 807
713 586 954
584 269 614
833 163 786
191 640 888
442 89 836
204 604 361
812 734 154
589 461 532
337 403 276
452 684 566
596 97 258
188 64 703
514 63 731
48 342 404
143 637 947
76 504 834
538 235 886
54 109 770
21 807 196
374 403 394
555 626 221
68 485 533
650 382 942
324 458 60
836 351 562
198 473 768
769 286 173
204 521 938
646 210 86
841 42 880
579 307 314
845 792 262
389 251 418
502 587 275
634 221 721
603 224 676
749 219 627
48 655 712
444 96 350
6 785 105
567 324 566
268 586 941
806 693 911
550 692 194
525 309 393
404 829 929
140 387 370
84 785 823
279 835 119
736 390 146
379 750 898
466 791 461
138 221 536
184 241 931
116 662 848
644 116 975
382 781 211
337 244 823
283 798 76
752 616 382
134 328 697
51 706 985
111 598 992
458 369 232
200 51 359
64 784 875
134 6 250
539 497 120
841 708 181
57 104 910
261 188 600
190 678 79
126 674 92
156 556 853
27 630 824
823 121 970
386 498 540
761 396 411
105 570 809
805 843 749
211 727 206
538 709 757
61 299 141
215 799 701
240 357 832
83 405 826
676 536 769
108 242 885
287 305 477
344 325 528
277 722 752
241 487 82
643 422 534
457 333 778
819 690 503
579 416 588
777 780 781
815 605 893
617 451 966
178 4 996
813 374 241
750 97 24
834 325 578
552 5 994
157 842 32
736 284 723
69 60 477
185 583 230
633 236 349
4 175 522
703 488 379
382 539 25
165 189 984
717 40 702
137 495 621
730 600 725
629 565 149
817 43 641
360 844 849
345 613 797
306 574 756
195 293 49
119 509 718
551 562 95
361 746 368
377 128 127
200 262 224
553 141 783
744 692 427
162 710 873
185 535 850
528 164 692
13 559 969
661 713 16
439 48 151
42 681 647
582 326 887
420 99 137
70 576 138
363 830 155
397 11 980
304 106 795
448 587 750
730 760 76
783 260 639
59 133 486
14 733 773
65 153 894
753 30 203
542 259 388
126 82 756
110 545 512
820 844 983
561 249 127
141 172 327
250 386 882
189 418 979
275 436 770
115 34 943
474 202 101
182 312 482
587 191 783
755 307 193
553 474 591
819 454 42
790 670 304
154 115 869
809 118 191
168 190 260
435 336 784
525 51 765
753 52 644
22 582 292
699 739 372
617 20 452
503 133 512
489 485 286
653 715 865
507 715 424
259 598 422
328 130 616
239 190 341
623 138 709
757 121 383
13 157 920
547 536 568
753 130 909
742 809 858
128 806 736
793 7 497
266 15 783
291 670 843
110 677 391
286 8 890
679 584 374
810 123 214
761 323 105
159 28 865
208 278 995
512 273 605
827 465 420
192 1 546
435 681 954
662 92 332
697 446 716
139 136 759
339 347 989
296 458 853
546 468 871
681 211 983
462 62 739
200 289 244
163 729 526
823 384 589
777 852 926
357 458 232
494 775 687
584 248 158
350 499 126
311 126 945
665 29 688
587 391 536
76 42 839
461 55 432
722 474 358
148 225 951
239 733 911
163 40 855
175 548 573
66 3 103
822 288 555
339 474 733
363 426 652
726 660 903
35 271 482
118 326 335
95 722 902
365 576 361
774 634 565
404 571 664
691 467 37
191 304 116
352 145 571
633 175 26
544 809 608
734 433 940
155 222 339
302 367 959
164 392 212
182 631 705
819 717 358
623 510 361
824 726 889
349 159 400
527 456 186
447 551 201
706 436 317
781 51 688
780 513 309
397 533 521
338 524 966
43 133 285
319 198 264
334 793 619
120 188 310
23 812 251
510 517 388
490 426 355
338 586 207
364 652 344
238 20 232
236 354 809
684 360 702
35 122 659
280 653 924
230 759 555
119 47 656
691 688 568
654 570 442
434 760 830
483 42 968
284 65 123
321 791 478
726 650 320
540 215 757
801 206 624
443 248 923
62 730 4
21 297 540
669 313 842
246 307 252
334 777 696
523 551 607
91 345 161
591 113 864
70 249 813
440 592 790
184 773 721
689 540 72
469 415 692
302 71 850
473 25 652
106 83 672
741 528 81
90 843 224
714 72 974
383 515 84
633 336 84
605 110 239
103 18 286
103 68 422
567 654 467
138 425 246
703 602 241
19 754 452
647 838 151
535 459 761
54 257 569
738 637 569
188 608 649
281 591 882
197 463 807
292 66 370
201 48 55
728 631 90
702 114 325
302 309 967
690 28 969
559 91 518
608 72 731
